Order_ID,Product_Name,Category,Price,Quantity,Date
ORD0135,Jacket,Clothing,98.57,10,2024-07-11
ORD0136,Textbook,Books,253.72,18,2024-04-30
ORD0137,Cooking Oil,Food,464.68,2,2024-08-10
ORD0138,Jacket,Clothing,241.1,1,2024-05-29
ORD0139,Textbook,Books,216.49,4,2024-04-29
ORD0140,Textbook,Books,128.66,15,2024-03-28
ORD0141,Phone,Electronics,93.64,16,2024-12-04
ORD0142,T-Shirt,Clothing,243.64,6,2024-08-07
ORD0143,Laptop,Electronics,409.07,15,2024-10-01
ORD0144,Jacket,Clothing,255.88,3,2024-07-19
ORD0145,Journal,Books,131.53,1,2024-07-09
ORD0146,T-Shirt,Clothing,45.42,10,2024-06-09
ORD0147,T-Shirt,Clothing,220.57,9,2024-10-24
ORD0148,Phone,Electronics,403.72,20,2024-11-03
ORD0149,Pasta,Food,184.23,2,2024-05-26
ORD0150,Sneakers,Clothing,154.37,6,2024-04-03
ORD0151,Earbuds,Electronics,434.49,15,2024-05-04
ORD0152,Laptop,Electronics,65.27,19,2024-10-09
ORD0153,Comic,Books,117.98,3,2024-04-29
ORD0154,T-Shirt,Clothing,223.58,13,2024-01-03
ORD0155,Jacket,Clothing,473.73,14,2024-08-05
ORD0156,Laptop,Electronics,393.52,6,2024-02-16
ORD0157,Textbook,Books,467.69,8,2024-06-15
ORD0158,Comic,Books,399.76,14,2024-05-21
ORD0159,Novel,Books,461.18,19,2024-05-24
ORD0160,Journal,Books,240.76,12,2024-11-05
ORD0161,Earbuds,Electronics,148.75,20,2024-10-25
ORD0162,Tablet,Electronics,475.62,,2024-07-26
ORD0163,Jacket,Clothing,440.44,1,2024-12-21
ORD0164,Textbook,Books,409.06,4,2024-11-01
ORD0165,Laptop,Electronics,250.41,11,2024-03-07
ORD0166,Journal,Books,159.71,1,2024-07-05
ORD0167,Cereal,Food,281.92,15,2024-09-13
ORD0168,Novel,Books,284.63,4,2024-02-01
ORD0169,Laptop,Electronics,381.51,1,2024-01-09
ORD0170,Pasta,Food,327.47,19,2024-09-25
ORD0171,Journal,Books,375.27,16,2024-03-17
ORD0172,Sneakers,Clothing,,18,2024-08-13
ORD0173,Rice Bag,Food,410.79,3,2024-06-23
ORD0174,Cereal,Food,,5,2024-01-03
ORD0175,Sneakers,Clothing,182.23,20,2024-03-07
ORD0176,Phone,Electronics,48.25,3,2024-03-13
ORD0177,Jeans,Clothing,338.21,2,2024-08-29
ORD0178,Journal,Books,276.93,11,2024-09-02
ORD0179,T-Shirt,Clothing,,18,2024-10-28
ORD0180,Cooking Oil,Food,75.9,10,2024-08-12
ORD0181,Journal,Books,103.84,3,2024-05-08
ORD0182,Rice Bag,Food,409.6,8,2024-07-21
ORD0183,Laptop,Electronics,51.79,7,2024-09-11
ORD0184,Earbuds,Electronics,94.7,1,2024-01-03
ORD0185,Cooking Oil,Food,298.72,17,2024-11-04
ORD0186,Sneakers,Clothing,39.4,18,2024-06-11
ORD0187,Comic,Books,484.89,5,2024-03-13
ORD0188,Sneakers,Clothing,118.23,9,2024-06-03
ORD0189,T-Shirt,Clothing,113.51,10,2024-06-05
ORD0190,Laptop,Electronics,336.47,15,2024-08-30
ORD0191,Cereal,Food,111.09,4,2024-06-08
ORD0192,Journal,Books,281.36,,2024-03-19
ORD0193,Journal,Books,422.86,9,2024-02-28
ORD0194,Textbook,Books,75.65,6,2024-03-01
ORD0195,Sneakers,Clothing,106.77,2,2024-08-03
ORD0196,Phone,Electronics,79.81,14,2024-12-23
ORD0197,Tablet,Electronics,100.09,15,2024-04-17
ORD0198,Pasta,Food,461.73,4,2024-06-18
ORD0199,Textbook,Books,179.4,6,2024-08-29
ORD0200,Phone,Electronics,327.11,1,2024-06-24
